Bundesland,31.12.2015,31.12.2016,31.12.2017,31.12.2018,31.12.2019
Baden-Wuerttemberg,10879618,10951893,11023425,11069533,11100394
Bayern,12843514,12930751,12997204,13076721,13124737
Berlin,3520031,3574830,3613495,3644826,3669491
Brandenburg,2484826,2494648,2504040,2511917,2521893
Bremen,671489,678753,681032,682986,681202
Hamburg,1787408,1810438,1830584,1841179,1847253
Hessen,6176172,6213088,6243262,6265809,6288080
Mecklenburg-Vorpommern,1612362,1610674,1611119,1609675,1608138
Niedersachsen,7926599,7945685,7962775,7982448,7993608
Nordrhein-Westfalen,17865516,17890100,17912134,17932651,17947221
Rheinland-Pfalz,4052803,4066053,4073679,4084844,4093903
Saarland,995597,996651,994187,990509,986887
Sachsen,4084851,4081783,4081308,4077937,4071971
Sachsen-Anhalt,2245470,2236252,2223081,2208321,2194782
Schleswig-Holstein,2858714,2881926,2889821,2896712,2903773
Thueringen,2170714,2158128,2151205,2143145,2133378

